U.S. House,,FL-15,,NOV 5,B-St. Pete Polls,1194,LV,Carlson,44%,46%,Spano,Spano,2
U.S. House,,NE-2,,01/10/02,Meeting Street Research*,400,RV,Eastman,40.00%,49.00%,Bacon,Bacon,9
U.S. House,,AK-1,,SEP 21-25,CIvan Moore Research,500,LV,Galvin,43.00%,54.00%,Young,Young,11
U.S. House,,MN-7,,05/09/10,CAnzalone Liszt Grove Research*,500,LV,Peterson,53.00%,35.00%,Hughes,Peterson,18
"Oct. 7, 2018",,,,,,,,,,,,,
U.S. House,,NC-9,,02/10/04,ASurveyUSA,556,LV,McCready,45.00%,41.00%,Harris,McCready,4
U.S. House,,IL-13,,01/10/04,BGBA Strategies*,500,LV,Londrigan,48.00%,49.00%,Davis,Davis,1
U.S. House,,CA-39,,SEP 28-OCT 2,BTulchin Research*,400,LV,Cisneros,48.00%,47.00%,Kim,Cisneros,1
U.S. House,,IL-6,,SEP 29-OCT 1,B+Garin-Hart-Yang Research Group*,400,LV,Casten,49.00%,44.00%,Roskam,Casten,5
U.S. House,,IL-13,,09/09/11,BGBA Strategies*,500,LV,Londrigan,46.00%,51.00%,Davis,Davis,5
U.S. House,,MT-1,,AUG 13-31,University of Montana,466,LV,Williams,51.00%,38.00%,Gianforte,Williams,13
"Oct. 5, 2018",,,,,,,,,,,,,
U.S. House,,PA-16,,05/10/08,ASiena College/New York Times,532,RV,DiNicola,37.00%,51.00%,Kelly,Kelly,14
U.S. House,,PA-16,,05/10/08,ASiena College/New York Times,532,LV,DiNicola,42.00%,50.00%,Kelly,Kelly,9
U.S. House,,NY-1,,04/10/08,ASiena College/New York Times,502,RV,Gershon,37.00%,47.00%,Zeldin,Zeldin,10
U.S. House,,NY-1,,04/10/08,ASiena College/New York Times,502,LV,Gershon,41.00%,49.00%,Zeldin,Zeldin,8
"Oct. 4, 2018",,,,,,,,,,,,,
U.S. House,,NC-13,,03/10/08,ASiena College/New York Times,500,RV,Manning,38.00%,42.00%,Budd,Budd,4
U.S. House,,NC-13,,03/10/08,ASiena College/New York Times,500,LV,Manning,41.00%,47.00%,Budd,Budd,6
U.S. House,,IL-14,,03/10/08,ASiena College/New York Times,501,RV,Underwood,40.00%,41.00%,Hultgren,Hultgren,1
U.S. House,,IL-14,,03/10/08,ASiena College/New York Times,501,LV,Underwood,43.00%,47.00%,Hultgren,Hultgren,5
U.S. House,,TX-23,,02/10/04,GS Strategy Group*,400,LV,Ortiz Jones,30.00%,55.00%,Hurd,Hurd,25
U.S. House,,NM-2,,SEP 30-OCT 2,BTarrance Group*,400,LV,Small,45.00%,49.00%,Herrell,Herrell,4
U.S. House,,FL-26,,SEP 27-OCT 1,BGBA Strategies*,500,LV,Mucarsel-Powell,50.00%,48.00%,Curbelo,Mucarsel-Powell,2
"Oct. 3, 2018",,,,,,,,,,,,,
U.S. House,,KY-6,,SEP 30-OCT 2,B+Garin-Hart-Yang Research Group*,501,LV,McGrath,51.00%,44.00%,Barr,McGrath,7
U.S. House,,FL-16,,SEP 30-OCT 2,A-University of North Florida,551,LV,Shapiro,40.00%,49.00%,Buchanan,Buchanan,9
U.S. House,,VA-10,,SEP 23-OCT 2,B+Christopher Newport University,711,LV,Wexton,53.00%,42.00%,Comstock,Wexton,11
U.S. House,,VA-10,,SEP 23-OCT 2,B+Christopher Newport University,794,LV,Wexton,51.00%,44.00%,Comstock,Wexton,7
U.S. House,,CA-50,,SEP 29-OCT 1,BTulchin Research*,400,LV,Campa-Najjar,44.00%,45.00%,Hunter,Hunter,1
U.S. House,,NE-2,,SEP 27-30,B-Greenberg Quinlan Rosner*,400,LV,Eastman,45.00%,49.00%,Bacon,Bacon,4
U.S. House,,NH-1,,SEP 25-27,C+OnMessage Inc.*,400,LV,Pappas,40.00%,42.00%,Edwards,Edwards,2
U.S. House,,CA-10,,SEP 16-23,UC Berkeley,726,LV,Harder,50.00%,45.00%,Denham,Harder,5
U.S. House,,CA-50,,SEP 16-23,UC Berkeley,527,LV,Campa-Najjar,47.00%,49.00%,Hunter,Hunter,2
U.S. House,,CA-49,,SEP 16-23,UC Berkeley,551,LV,Levin,55.00%,41.00%,Harkey,Levin,14
U.S. House,,CA-48,,SEP 16-23,UC Berkeley,623,LV,Rouda,48.00%,48.00%,Rohrabacher,,EVEN
U.S. House,,CA-45,,SEP 16-23,UC Berkeley,519,LV,Porter,52.00%,45.00%,Walters,Porter,7
U.S. House,,CA-39,,SEP 16-23,UC Berkeley,552,LV,Cisneros,49.00%,48.00%,Kim,Cisneros,1
U.S. House,,CA-25,,SEP 16-23,UC Berkeley,650,LV,Hill,50.00%,46.00%,Knight,Hill,4
U.S. House,,CA-22,,SEP 16-23,UC Berkeley,912,LV,Janz,45.00%,53.00%,Nunes,Nunes,8
U.S. House,,FL-18,,SEP 11-16,C+Global Strategy Group*,600,LV,Baer,44.00%,50.00%,Mast,Mast,6
U.S. House,,KY-6,,AUG 23-26,B+Garin-Hart-Yang Research Group*,401,LV,McGrath,44.00%,49.00%,Barr,Barr,5
"Oct. 2, 2018",,,,,,,,,,,,,
U.S. House,,ND-1,,SEP 29-OCT 2,AFox News,704,LV,Schneider,34.00%,51.00%,Armstrong,Armstrong,17
U.S. House,,ND-1,,SEP 29-OCT 2,AFox News,801,RV,Schneider,33.00%,49.00%,Armstrong,Armstrong,16
U.S. House,,MN-2,,SEP 29-OCT 1,BWPA Intelligence*,412,LV,Craig,43.00%,46.00%,Lewis,Lewis,3
U.S. House,,PA-1,,SEP 27-OCT 1,A+Monmouth University,353,LV,Wallace,45.00%,52.00%,Fitzpatrick,Fitzpatrick,7
U.S. House,,PA-1,,SEP 27-OCT 1,A+Monmouth University,353,LV,Wallace,48.00%,49.00%,Fitzpatrick,Fitzpatrick,1
U.S. House,,PA-1,,SEP 27-OCT 1,A+Monmouth University,353,LV,Wallace,46.00%,50.00%,Fitzpatrick,Fitzpatrick,4
U.S. House,,FL-18,,SEP 26-30,C+Global Strategy Group*,400,LV,Baer,45.00%,48.00%,Mast,Mast,3
U.S. House,,MN-3,,SEP 24-29,ASurveyUSA,607,LV,Phillips,49.00%,44.00%,Paulsen,Phillips,5
U.S. House,,PA-10,,SEP 24-25,BPublic Policy Polling*,650,V,Scott,43.00%,44.00%,Perry,Perry,1
U.S. House,,TX-32,,SEP 20-23,BGBA Strategies*,600,LV,Allred,50.00%,47.00%,Sessions,Allred,3
U.S. House,,TX-32,,SEP 20-23,BGBA Strategies*,600,LV,Allred,47.00%,46.00%,Sessions,Allred,1
"Oct. 1, 2018",,,,,,,,,,,,,
U.S. House,,MI-11,,01/10/06,ASiena College/New York Times,465,RV,Stevens,46.00%,35.00%,Epstein,Stevens,11
U.S. House,,MI-11,,01/10/06,ASiena College/New York Times,465,LV,Stevens,45.00%,38.00%,Epstein,Stevens,8
U.S. House,,TX-31,,01/10/05,ASiena College/New York Times,490,RV,Hegar,35.00%,51.00%,Carter,Carter,16
U.S. House,,TX-31,,01/10/05,ASiena College/New York Times,490,LV,Hegar,38.00%,53.00%,Carter,Carter,15
U.S. House,,FL-16,,01/10/01,B-St. Pete Polls,1248,LV,Shapiro,43.00%,50.00%,Buchanan,Buchanan,7
U.S. House,,VA-10,,SEP 26-30,A+Monmouth University,374,LV,Wexton,52.00%,43.00%,Comstock,Wexton,9
U.S. House,,VA-10,,SEP 26-30,A+Monmouth University,374,LV,Wexton,50.00%,44.00%,Comstock,Wexton,6
U.S. House,,VA-10,,SEP 26-30,A+Monmouth University,374,LV,Wexton,50.00%,46.00%,Comstock,Wexton,4
U.S. House,,VA-2,,SEP 26-28,Change Research,758,LV,Luria,46.00%,46.00%,Taylor,Taylor,1
U.S. House,,IL-12,,SEP 26-27,DCCC Targeting Team*,574,LV,Kelly,44.00%,46.00%,Bost,Bost,2
U.S. House,,IL-12,,SEP 26-27,DCCC Targeting Team*,574,LV,Kelly,41.00%,42.00%,Bost,Bost,1
U.S. House,,FL-26,,SEP 23-27,B-Greenberg Quinlan Rosner*,500,LV,Mucarsel-Powell,49.00%,48.00%,Curbelo,Mucarsel-Powell,1
U.S. House,,ND-1,,SEP 17-27,Strategic Research Associates,650,LV,Schneider,31.00%,55.00%,Armstrong,Armstrong,24
U.S. House,,TX-31,,SEP 22-25,BTarrance Group*,400,LV,Hegar,33.00%,54.00%,Carter,Carter,21
U.S. House,,OK-1,,SEP 15-25,B-SoonerPoll.com,306,LV,Gilpin,32.00%,54.00%,Hern,Hern,22
U.S. House,,OK-2,,SEP 15-25,B-SoonerPoll.com,245,LV,Nichols,32.00%,46.00%,Mullin,Mullin,14
U.S. House,,KS-1,,SEP 21-22,DJayhawk Consulting*,400,LV,LaPolice,33.00%,44.00%,Marshall,Marshall,11
U.S. House,,KS-3,,SEP 18-20,Remington Research Group*,610,LV,Davids,40.00%,43.00%,Yoder,Yoder,3
U.S. House,,NJ-11,,JUL 18-22,"B+National Research, Inc.*",400,LV,Sherrill,42.00%,36.00%,Webber,Sherrill,6
U.S. House,,CO-6,,09/07/11,"B-Normington, Petts & Associates*",400,LV,Crow,41.00%,44.00%,Coffman,Coffman,3
"Sept. 30, 2018",,,,,,,,,,,,,
U.S. House,,NC-9,,01/10/05,ASiena College/New York Times,502,RV,McCready,43.00%,44.00%,Harris,Harris,2
U.S. House,,NC-9,,01/10/05,ASiena College/New York Times,502,LV,McCready,42.00%,47.00%,Harris,Harris,4
U.S. House,,MN-8,,SEP 27-30,B-Victoria Research & Consulting*,400,LV,Radinovich,45.00%,44.00%,Stauber,Radinovich,1
U.S. House,,AZ-1,,SEP 27-28,Go Right Strategies*,738,LV,O'Halleran,36.00%,39.00%,Rogers,Rogers,3
U.S. House,,KS-4,,SEP 26-28,B+Emerson College,256,RV,Thompson,26.00%,50.00%,Estes,Estes,24
U.S. House,,KS-3,,SEP 26-28,B+Emerson College,246,RV,Davids,47.00%,41.00%,Yoder,Davids,7
U.S. House,,KS-2,,SEP 26-28,B+Emerson College,243,RV,Davis,35.00%,31.00%,Watkins,Davis,4
U.S. House,,KS-1,,SEP 26-28,B+Emerson College,193,RV,LaPolice,17.00%,44.00%,Marshall,Marshall,27
U.S. House,,NJ-11,,SEP 24-27,"B+National Research, Inc.*",400,LV,Sherrill,46.00%,43.00%,Webber,Sherrill,3
U.S. House,,FL-15,,SEP 22-27,Bold Blue Campaigns,500,LV,Carlson,46.00%,49.00%,Spano,Spano,3
U.S. House,,OK-5,,SEP 15-25,B-SoonerPoll.com,303,LV,Horn,37.00%,47.00%,Russell,Russell,10
U.S. House,,OK-4,,SEP 15-25,B-SoonerPoll.com,291,LV,Brannon,25.00%,58.00%,Cole,Cole,33
U.S. House,,OK-3,,SEP 15-25,B-SoonerPoll.com,267,LV,Robbins,24.00%,54.00%,Lucas,Lucas,30
U.S. House,,CA-45,,SEP 20-23,BGBA Strategies*,400,LV,Porter,48.00%,47.00%,Walters,Porter,1
U.S. House,,CO-6,,SEP 18-23,"B-Normington, Petts & Associates*",400,LV,Crow,49.00%,38.00%,Coffman,Crow,11
U.S. House,,CA-49,,SEP 17-20,BPublic Opinion Strategies*,400,LV,Levin,45.00%,43.00%,Harkey,Levin,2
U.S. House,,CO-6,,SEP 11-13,BTarrance Group*,400,RV,Crow,42.00%,40.00%,Coffman,Crow,2
U.S. House,,CO-6,,SEP 11-13,BTarrance Group*,400,RV,Crow,46.00%,45.00%,Coffman,Crow,1
"Sept. 29, 2018",,,,,,,,,,,,,
U.S. House,,MI-8,,SEP 28-OCT 3,ASiena College/New York Times,501,RV,Slotkin,43.00%,46.00%,Bishop,Bishop,3
U.S. House,,MI-8,,SEP 28-OCT 3,ASiena College/New York Times,501,LV,Slotkin,44.00%,47.00%,Bishop,Bishop,3
U.S. House,,MN-2,,SEP 29-OCT 2,ASiena College/New York Times,487,RV,Craig,49.00%,38.00%,Lewis,Craig,12
U.S. House,,MN-2,,SEP 29-OCT 2,ASiena College/New York Times,487,LV,Craig,51.00%,39.00%,Lewis,Craig,12
"Sept. 28, 2018",,,,,,,,,,,,,
U.S. House,,WA-5,,SEP 16-20,"B-Fairbank, Maslin, Maullin, Metz & Associates*",521,LV,Brown,46.00%,49.00%,McMorris Rodgers,McMorris Rodgers,3
"Sept. 27, 2018",,,,,,,,,,,,,
U.S. House,,OH-1,,SEP 27-OCT 1,ASiena College/New York Times,503,RV,Pureval,42.00%,47.00%,Chabot,Chabot,5
U.S. House,,OH-1,,SEP 27-OCT 1,ASiena College/New York Times,503,LV,Pureval,41.00%,50.00%,Chabot,Chabot,9
U.S. House,,AZ-8,,SEP 24-26,B+Lake Research Partners*,400,LV,Tipirneni,44.00%,48.00%,Lesko,Lesko,4
U.S. House,,NH-2,,SEP 21-26,C+American Research Group,400,RV,Kuster,54.00%,27.00%,Negron,Kuster,27
U.S. House,,NH-1,,SEP 21-26,C+American Research Group,400,RV,Pappas,55.00%,33.00%,Edwards,Pappas,22
U.S. House,,MI-8,,SEP 16-18,BPublic Opinion Strategies*,400,LV,Slotkin,43.00%,45.00%,Bishop,Bishop,2
U.S. House,,MT-1,,SEP 6-16,B-Benenson Strategy Group,950,LV,Williams,45.00%,46.00%,Gianforte,Gianforte,1
U.S. House,,MI-8,,AUG 20-23,B-Greenberg Quinlan Rosner*,400,LV,Slotkin,44.00%,49.00%,Bishop,Bishop,5
"Sept. 26, 2018",,,,,,,,,,,,,
U.S. House,,VA-2,,SEP 26-OCT 1,ASiena College/New York Times,500,RV,Luria,36.00%,48.00%,Taylor,Taylor,11
U.S. House,,VA-2,,SEP 26-OCT 1,ASiena College/New York Times,500,LV,Luria,41.00%,49.00%,Taylor,Taylor,8
U.S. House,,AZ-2,,SEP 26-OCT 1,ASiena College/New York Times,502,RV,Kirkpatrick,50.00%,35.00%,Marquez Peterson,Kirkpatrick,15
U.S. House,,AZ-2,,SEP 26-OCT 1,ASiena College/New York Times,502,LV,Kirkpatrick,50.00%,39.00%,Marquez Peterson,Kirkpatrick,11
U.S. House,,IA-3,,SEP 27-30,ASiena College/New York Times,502,RV,Axne,41.00%,42.00%,Young,Young,1
U.S. House,,IA-3,,SEP 27-30,ASiena College/New York Times,502,LV,Axne,44.00%,43.00%,Young,Axne,1
U.S. House,,CA-50,,SEP 22-26,A+Monmouth University,348,LV,Campa-Najjar,40.00%,51.00%,Hunter,Hunter,11
U.S. House,,CA-50,,SEP 22-26,A+Monmouth University,348,LV,Campa-Najjar,38.00%,53.00%,Hunter,Hunter,15
U.S. House,,CA-50,,SEP 22-26,A+Monmouth University,401,V,Campa-Najjar,41.00%,49.00%,Hunter,Hunter,8
U.S. House,,AZ-4,,01/09/25,C+OH Predictive Insights / MBQF,370,LV,Brill,25.00%,57.00%,Gosar,Gosar,32
U.S. House,,OK-5,,SEP 24-25,VCreek/AMG*,1407,LV,Horn,37.00%,50.00%,Russell,Russell,13
U.S. House,,CA-22,,SEP 20-25,ASurveyUSA,582,LV,Janz,41.00%,55.00%,Nunes,Nunes,14
U.S. House,,TX-10,,JUL 31-AUG 4,Blink Insights*,524,RV,Siegel,36.00%,39.00%,McCaul,McCaul,3
"Sept. 25, 2018",,,,,,,,,,,,,
U.S. House,,CA-21,,SEP 20-24,ASurveyUSA,555,LV,Cox,39.00%,50.00%,Valadao,Valadao,11
U.S. House,,MN-2,,SEP 17-23,ASurveyUSA,569,LV,Craig,48.00%,45.00%,Lewis,Craig,3
U.S. House,,VA-7,,SEP 18-20,"B-Normington, Petts & Associates*",400,LV,Spanberger,47.00%,47.00%,Brat,,EVEN
U.S. House,,MI-8,,SEP 17-20,B-Greenberg Quinlan Rosner*,400,LV,Slotkin,47.00%,43.00%,Bishop,Slotkin,4
U.S. House,,DE-1,,SEP 11-17,University of Delaware,908,RV,Blunt Rochester,54.00%,26.00%,Walker,Blunt Rochester,28
U.S. House,,DE-1,,SEP 11-17,University of Delaware,728,LV,Blunt Rochester,58.00%,28.00%,Walker,Blunt Rochester,30
U.S. House,,VA-2,,JUN 26-JUL 1,B+Garin-Hart-Yang Research Group*,404,LV,Luria,44.00%,48.00%,Taylor,Taylor,4
"Sept. 24, 2018",,,,,,,,,,,,,
U.S. House,,WA-8,,SEP 24-26,ASiena College/New York Times,505,RV,Schrier,43.00%,41.00%,Rossi,Schrier,1
U.S. House,,WA-8,,SEP 24-26,ASiena College/New York Times,505,LV,Schrier,46.00%,45.00%,Rossi,Schrier,1
U.S. House,,NE-2,,SEP 23-26,ASiena College/New York Times,512,RV,Eastman,39.00%,49.00%,Bacon,Bacon,10
U.S. House,,NE-2,,SEP 23-26,ASiena College/New York Times,512,LV,Eastman,42.00%,51.00%,Bacon,Bacon,9
U.S. House,,VA-7,,SEP 15-24,A+Monmouth University,329,LV,Spanberger,48.00%,45.00%,Brat,Spanberger,3
U.S. House,,VA-7,,SEP 15-24,A+Monmouth University,329,LV,Spanberger,47.00%,47.00%,Brat,,EVEN
U.S. House,,VA-7,,SEP 15-24,A+Monmouth University,400,V,Spanberger,47.00%,42.00%,Brat,Spanberger,5
U.S. House,,MT-1,,SEP 19-22,C+Gravis Marketing,710,LV,Williams,42.00%,51.00%,Gianforte,Gianforte,9
U.S. House,,KY-6,,SEP 12-17,Pulse Opinion Research,600,LV,McGrath,47.00%,47.00%,Barr,,EVEN
"Sept. 23, 2018",,,,,,,,,,,,,
U.S. House,,NJ-3,,SEP 22-26,ASiena College/New York Times,499,RV,Kim,52.00%,33.00%,MacArthur,Kim,19
U.S. House,,NJ-3,,SEP 22-26,ASiena College/New York Times,499,LV,Kim,49.00%,39.00%,MacArthur,Kim,10
U.S. House,,TX-31,,SEP 16-20,CAnzalone Liszt Grove Research*,500,LV,Hegar,42.00%,46.00%,Carter,Carter,4
U.S. House,,TX-32,,SEP 17-18,BPublic Policy Polling*,555,V,Allred,47.00%,42.00%,Sessions,Allred,5
U.S. House,,TX-7,,SEP 17-18,BPublic Policy Polling*,562,V,Fletcher,47.00%,45.00%,Culberson,Fletcher,2
U.S. House,,PA-11,,SEP 12-13,BPublic Policy Polling*,552,V,King,35.00%,44.00%,Smucker,Smucker,9
"Sept. 22, 2018",,,,,,,,,,,,,
U.S. House,,PA-7,,SEP 21-25,ASiena College/New York Times,539,RV,Wild,52.00%,39.00%,Nothstein,Wild,14
U.S. House,,PA-7,,SEP 21-25,ASiena College/New York Times,539,LV,Wild,50.00%,42.00%,Nothstein,Wild,9
"Sept. 21, 2018",,,,,,,,,,,,,
U.S. House,,CA-45,,SEP 21-25,ASiena College/New York Times,518,RV,Porter,46.00%,40.00%,Walters,Porter,6
U.S. House,,CA-45,,SEP 21-25,ASiena College/New York Times,518,LV,Porter,48.00%,43.00%,Walters,Porter,5
U.S. House,,OH-1,,SEP 18-20,B+American Viewpoint*,400,LV,Pureval,39.00%,46.00%,Chabot,Chabot,7
"Sept. 20, 2018",,,,,,,,,,,,,
U.S. House,,KS-3,,SEP 20-23,ASiena College/New York Times,494,RV,Davids,47.00%,46.00%,Yoder,Davids,1
U.S. House,,KS-3,,SEP 20-23,ASiena College/New York Times,494,LV,Davids,51.00%,43.00%,Yoder,Davids,8
U.S. House,,CA-16,,SEP 14-19,ASurveyUSA,515,LV,Costa,51.00%,40.00%,Heng,Costa,11
U.S. House,,FL-25,,SEP 17-18,BPublic Policy Polling*,541,V,Barzee Flores,36.00%,41.00%,Diaz-Balart,Diaz-Balart,5
U.S. House,,FL-18,,SEP 17-18,BPublic Policy Polling*,533,V,Baer,43.00%,46.00%,Mast,Mast,3
U.S. House,,FL-26,,SEP 17-18,BPublic Policy Polling*,511,V,Mucarsel-Powell,46.00%,45.00%,Curbelo,Mucarsel-Powell,1
U.S. House,,MN-2,,SEP 17-18,BPublic Policy Polling*,531,V,Craig,48.00%,45.00%,Lewis,Craig,3
U.S. House,,CA-45,,SEP 14-18,C+Global Strategy Group*,500,LV,Porter,46.00%,43.00%,Walters,Porter,3
U.S. House,,NY-1,,SEP 11-17,C+Global Strategy Group*,400,LV,Gershon,44.00%,47.00%,Zeldin,Zeldin,3
U.S. House,,WV-3,,01/09/16,DCCC Targeting Team*,540,LV,Ojeda,48.00%,44.00%,Miller,Ojeda,4
"Sept. 19, 2018",,,,,,,,,,,,,
U.S. House,,TX-32,,SEP 19-24,ASiena College/New York Times,500,RV,Allred,47.00%,48.00%,Sessions,Sessions,1
U.S. House,,TX-32,,SEP 19-24,ASiena College/New York Times,500,LV,Allred,47.00%,48.00%,Sessions,Sessions,2
U.S. House,,CA-49,,SEP 18-23,ASiena College/New York Times,507,RV,Levin,50.00%,38.00%,Harkey,Levin,12
U.S. House,,CA-49,,SEP 18-23,ASiena College/New York Times,507,LV,Levin,51.00%,41.00%,Harkey,Levin,10
U.S. House,,FL-6,,01/09/19,B-St. Pete Polls,981,LV,Soderberg,43.00%,48.00%,Waltz,Waltz,5
U.S. House,,MN-3,,SEP 17-18,BPublic Policy Polling*,538,V,Phillips,52.00%,39.00%,Paulsen,Phillips,13
U.S. House,,NJ-7,,SEP 13-17,A+Monmouth University,365,LV,Malinowski,47.00%,41.00%,Lance,Malinowski,6
U.S. House,,NJ-7,,SEP 13-17,A+Monmouth University,365,LV,Malinowski,46.00%,43.00%,Lance,Malinowski,3
U.S. House,,NJ-7,,SEP 13-17,A+Monmouth University,414,V,Malinowski,47.00%,39.00%,Lance,Malinowski,8
U.S. House,,NC-13,,01/09/13,DCCC Targeting Team*,537,LV,Manning,46.00%,42.00%,Budd,Manning,4
U.S. House,,FL-19,,10/09/12,Change Research*,468,RV,Holden,42.00%,51.00%,Rooney,Rooney,9
"Sept. 18, 2018",,,,,,,,,,,,,
U.S. House,,NJ-2,,SEP 12-18,B+Stockton University,535,LV,Van Drew,55.00%,32.00%,Grossman,Van Drew,23
U.S. House,,FL-27,,SEP 10-13,C-McLaughlin & Associates*,400,LV,Shalala,42.00%,51.00%,Salazar,Salazar,9
U.S. House,,IA-2,,08/09/11,C+Gravis Marketing*,425,A,Loebsack,46.00%,38.00%,Peters,Loebsack,8
U.S. House,,IA-2,,08/09/11,C+Gravis Marketing*,425,A,Loebsack,43.00%,37.00%,Peters,Loebsack,6
U.S. House,,IL-6,,08/09/10,B+Garin-Hart-Yang Research Group*,402,LV,Casten,47.00%,44.00%,Roskam,Casten,3
U.S. House,,FL-27,,01/09/04,B-Bendixen & Amandi International*,600,LV,Shalala,46.00%,42.00%,Salazar,Shalala,4
